Unnamed: 0,price,bed,bath,feet,address,new_flag,link,latitude,longitude
13,1350000,3,3,2900,"53 Hawley Ave,Staten Island, NY 10312",True,https://www.trulia.com/p/ny/staten-island/53-hawley-ave-staten-island-ny-10312--2622516274,40.53266406122449,-74.19386463265306
14,1488888,8,6,3600,"63 Titus Ave,Staten Island, NY 10306",True,https://www.trulia.com/p/ny/staten-island/63-titus-ave-staten-island-ny-10306--816443,40.5669752,-74.10705710053674
15,699900,2,2,1056,"939 E 43rd St,Brooklyn, NY 11210",True,https://www.trulia.com/p/ny/brooklyn/939-e-43rd-st-brooklyn-ny-11210--2088988237,40.63209095,-73.93482551454326
16,1299000,3,2,,"222 E 82nd St New York, NY 10028",True,https://www.trulia.com/p/ny/new-york/222-e-82nd-st-2c-new-york-ny-10028--2478589582,40.7755871,-73.95487650321877
17,1149000,3,3,1440,"524 Beach 138 St,Rockaway Park, NY 11694",True,https://www.trulia.com/p/ny/rockaway-park/524-beach-138-st-rockaway-park-ny-11694--2123717567,,
18,595000,1,1,677,"342 E 110th St New York, NY 10029",True,https://www.trulia.com/p/ny/new-york/342-e-110th-st-6c-new-york-ny-10029--2088891812,40.7923117,-73.93899145040119
19,2250000,4,3,,"108 E 86th St New York, NY 10028",True,https://www.trulia.com/p/ny/new-york/108-e-86th-st-12n-new-york-ny-10028--2478898012,40.7796924,-73.9567274
20,2300000,6,5,2868,"125 N Bay 10th St,Brooklyn, NY 11228",True,https://www.trulia.com/p/ny/brooklyn/125-n-bay-10th-st-brooklyn-ny-11228--2625412913,40.607582,-74.012281
21,2300000,6,5,2868,"123 Bay 10th St,Brooklyn, NY 11228",True,https://www.trulia.com/p/ny/brooklyn/123-bay-10th-st-brooklyn-ny-11228--1008229843,40.608345799999995,-74.01119295987178
22,888168,3,2,1786,"2327 E 18th St,Brooklyn, NY 11229",True,https://www.trulia.com/p/ny/brooklyn/2327-e-18th-st-brooklyn-ny-11229--2089009572,40.59393745,-73.95232451785714
23,699900,2,2,1056,"939 E 43rd St,Brooklyn, NY 11210",True,https://www.trulia.com/p/ny/brooklyn/939-e-43rd-st-brooklyn-ny-11210--2088988237,40.63209095,-73.93482551454326
24,950000,1,1,685,"225 Rector Pl New York, NY 10280",True,https://www.trulia.com/p/ny/new-york/225-rector-pl-9d-new-york-ny-10280--2008716218,40.7092957,-74.0161233
25,3350000,3,3,1980,"520 W 19th St New York, NY 10011",True,https://www.trulia.com/p/ny/new-york/520-w-19th-st-5c-new-york-ny-10011--2088827172,40.74546375,-74.00713068884602
26,365000,2,1,963,"825 Morrison Ave Bronx, NY 10473",True,https://www.trulia.com/p/ny/bronx/825-morrison-ave-10l-bronx-ny-10473--2307422989,40.82056995,-73.87318743050017
27,1299000,3,2,,"222 E 82nd St New York, NY 10028",True,https://www.trulia.com/p/ny/new-york/222-e-82nd-st-2c-new-york-ny-10028--2478589582,40.7755871,-73.95487650321877
